link,text,date,No_of_Likes,No_of_tweets
https://twitter.com/MattMJones00/status/1755557885570855224#m,"Lesson of the day: we need complete  #electoralreform and parliamentary reform. #ConservativeParty and #Labour policians can not be trusted to run this country. Neither can solve the problems, both support the ideologies that #brokebritain. #prnow #ToriesUnfitToGovern #starmerout","Feb 8, 2024 · 11:43 AM UTC",0,0
https://twitter.com/simon_ball46/status/1755551386928914665#m,https://nitter.catsarch.com/OBR_UK/status/1635998914292727810 anything could outperform your #ConservativeParty kev...,"Feb 8, 2024 · 11:17 AM UTC",0,0
https://twitter.com/MFuturama/status/1755543282489151640#m,"#ourmoneyisnotyours Put canada first and step down, do the right thing #ourmoneyisnotyours #PierrePoilievre #ConservativeParty","Feb 8, 2024 · 10:45 AM UTC",0,0
https://twitter.com/anneryan21/status/1755542507222364376#m,#Shame seems to be in short supply in the #ConservativeParty and #Empathy,"Feb 8, 2024 · 10:42 AM UTC",0,0
https://twitter.com/nicktweet/status/1755536968077672714#m,#TorySewageParty 'takes back control...' unless you want to flush your toilet...#FlickDrummond #Winchester #ConservativeParty,"Feb 8, 2024 · 10:20 AM UTC",0,0
https://twitter.com/DavidBa52816552/status/1755535323801559345#m,BJ is the reason the #ConservativeParty is where it is and where it is going. Endless lies and corruption. Didn’t have the guts to stand in his constituency. Elevated KGB contacts and charlatans to HoL bringing that into disrepute too. Everything he touches.,"Feb 8, 2024 · 10:13 AM UTC",0,0
https://twitter.com/Lins1969_/status/1755533464340779140#m,https://www.instagram.com/reel/C3BsE7aOg03/?igsh=MXM4YjNlem1zanBoMA==  Pretty much sums everything up in the world today this should be the UK national anthem 😂 #uk #Britain #GE2024 #ConservativeParty #LabourParty 🤷🏼‍♀️,"Feb 8, 2024 · 10:06 AM UTC",0,0
https://twitter.com/BaluReddyUKing/status/1755533285306888322#m,I have voted for the Conservative Party in every election since 2009 !  Should I vote for the conservative  party in the upcoming elections? Or Labour 🤔  @Conservatives @UKLabour #UK #LabourParty #ConservativeParty,"Feb 8, 2024 · 10:05 AM UTC",3,1
https://twitter.com/SirCCodpiece/status/1755528715956560208#m,#Tory #Conservatives #ConservativeParty Is this you🤔👇😜,"Feb 8, 2024 · 9:47 AM UTC",0,0
https://twitter.com/Iamthe6ofClubs/status/1755528687644995925#m,When will they realise you can't dismiss the need for this. #labour #libdemparty #ConservativeParty #ClimateCrisis #doitforourfuture #doitfornow https://www.bbc.co.uk/news/uk-politics-68232133,"Feb 8, 2024 · 9:47 AM UTC",1,0
https://twitter.com/Dot_23_/status/1755527551441604734#m,"Does anyone have a nice round total for how much #ConservativeParty #MPs & their chums have cost #British #TaxPayers due to incompetence, corruption, misappropriation of expenses in the last 14 years?","Feb 8, 2024 · 9:42 AM UTC",0,0
